date,nfp,nfp1mdelta
"Jan
2001",132703,-13
"Feb
2001",132788,85
"Mar
2001",132751,-37
"Apr
2001",132457,-294
"May
2001",132409,-48
"Jun
2001",132299,-110
"Jul
2001",132171,-128
"Aug
2001",132021,-150
"Sep
2001",131763,-258
"Oct
2001",131452,-311
"Nov
2001",131144,-308
"Dec
2001",130983,-161
"Jan
2002",130859,-124
"Feb
2002",130736,-123
"Mar
2002",130722,-14
"Apr
2002",130615,-107
"May
2002",130632,17
"Jun
2002",130673,41
"Jul
2002",130583,-90
"Aug
2002",130582,-1
"Sep
2002",130503,-79
"Oct
2002",130617,114
"Nov
2002",130616,-1
"Dec
2002",130465,-151
"Jan
2003",130573,108
"Feb
2003",130441,-132
"Mar
2003",130235,-206
"Apr
2003",130172,-63
"May
2003",130196,24
"Jun
2003",130185,-11
"Jul
2003",130184,-1
"Aug
2003",130153,-31
"Sep
2003",130253,100
"Oct
2003",130440,187
"Nov
2003",130481,41
"Dec
2003",130589,108
"Jan
2004",130756,167
"Feb
2004",130820,64
"Mar
2004",131139,319
"Apr
2004",131412,273
"May
2004",131697,285
"Jun
2004",131794,97
"Jul
2004",131853,59
"Aug
2004",131940,87
"Sep
2004",132091,151
"Oct
2004",132431,340
"Nov
2004",132504,73
"Dec
2004",132629,125
"Jan
2005",132781,152
"Feb
2005",133033,252
"Mar
2005",133152,119
"Apr
2005",133519,367
"May
2005",133689,170
"Jun
2005",133947,258
"Jul
2005",134300,353
"Aug
2005",134503,203
"Sep
2005",134554,51
"Oct
2005",134643,89
"Nov
2005",134999,356
"Dec
2005",135158,159
"Jan
2006",135426,268
"Feb
2006",135731,305
"Mar
2006",136036,305
"Apr
2006",136208,172
"May
2006",136249,41
"Jun
2006",136335,86
"Jul
2006",136529,194
"Aug
2006",136693,164
"Sep
2006",136829,136
"Oct
2006",136846,17
"Nov
2006",137061,215
"Dec
2006",137249,188
"Jan
2007",137472,223
"Feb
2007",137558,86
"Mar
2007",137782,224
"Apr
2007",137845,63
"May
2007",137993,148
"Jun
2007",138069,76
"Jul
2007",138044,-25
"Aug
2007",138013,-31
"Sep
2007",138101,88
"Oct
2007",138177,76
"Nov
2007",138291,114
"Dec
2007",138395,104
"Jan
2008",138391,-4
"Feb
2008",138327,-64
"Mar
2008",138257,-70
"Apr
2008",138038,-219
"May
2008",137851,-187
"Jun
2008",137698,-153
"Jul
2008",137498,-200
"Aug
2008",137211,-287
"Sep
2008",136762,-449
"Oct
2008",136293,-469
"Nov
2008",135543,-750
"Dec
2008",134847,-696
"Jan
2009",134078,-769
"Feb
2009",133317,-761
"Mar
2009",132492,-825
"Apr
2009",131821,-671
"May
2009",131468,-353
"Jun
2009",131007,-461
